room_id,property_id,room_name,floor_number,square_footage,hvac_zone_id
ROOM-001,PROP-101,Living Room,1,350,ZONE-A
ROOM-002,PROP-101,Kitchen,1,200,ZONE-A
ROOM-003,PROP-102,Master Bedroom,0,180,ZONE-B
ROOM-004,PROP-201,Server Closet,1,80,ZONE-C
ROOM-005,PROP-301,Home Office,1,120,ZONE-A
ROOM-006,PROP-401,Server Room B,3,500,ZONE-CRITICAL
ROOM-007,PROP-501,Kitchen,0,150,ZONE-MANCHESTER
ROOM-008,PROP-501,Lounge,0,220,ZONE-MANCHESTER
ROOM-009,PROP-601,Bedsit,2,190,ZONE-LDN
ROOM-010,PROP-701,Sitting Room,0,260,ZONE-WEST
ROOM-011,PROP-801,Archives, -1,450,ZONE-SECURE
ROOM-012,PROP-901,Gun Room,0,300,ZONE-SCOT
ROOM-013,PROP-902,Basement Gym, -1,400,ZONE-BASE
ROOM-014,PROP-1001,Laboratory,1,210,ZONE-221B
ROOM-015,PROP-1101,Living Area,4,280,ZONE-SOUTH
ROOM-016,PROP-1201,Consulting Room 1,0,175,ZONE-CLINIC
ROOM-017,PROP-1301,Conservatory,0,160,ZONE-GARDEN
ROOM-018,PROP-1401,Main Lab, -2,950,ZONE-RIFT
ROOM-019,PROP-1501,Study,2,240,ZONE-OXFORD
ROOM-020,PROP-1801,Consulting Room B,0,190,ZONE-A

