device_id,room_id,firmware_id,device_model,mac_address,serial_number,hardware_status
DEV-901,ROOM-001,FIRM-v1,SmartTherm-v2,00:1A:2B:3C:4D:5E,SN-8827361-X,Active
DEV-902,ROOM-002,FIRM-v1,EcoPlug-Lite,00:1A:2B:3C:4D:5F,SN-1102938-A,Active
DEV-903,ROOM-004,FIRM-v2,SafeGuard-Motion,00:80:41:AE:FD:7A,SN-9900212-M,Active
DEV-904,ROOM-005,FIRM-v1,SmartTherm-v2,00:E0:4C:68:12:34,SN-4435219-X,Offline
DEV-905,ROOM-006,FIRM-v3,EcoPlug-Pro,00:25:90:94:F3:B1,SN-7761230-P,Active
DEV-906,ROOM-007,FIRM-v1,EcoPlug-Lite,00:1A:2B:3C:4D:6A,SN-2211443-B,Active
DEV-907,ROOM-008,FIRM-v1,SmartTherm-v2,00:1A:2B:3C:4D:6B,SN-3322554-C,Active
DEV-908,ROOM-010,FIRM-v2,SmartTherm-v2,00:1A:2B:3C:4D:6C,SN-4433665-D,Active
DEV-909,ROOM-011,FIRM-v3,SafeGuard-Motion,00:80:41:AE:FD:8B,SN-5544776-E,Active
DEV-910,ROOM-012,FIRM-v1,SmartTherm-v2,00:E0:4C:68:12:45,SN-6655887-F,Active
DEV-911,ROOM-013,FIRM-v2,EcoPlug-Pro,00:25:90:94:F3:C2,SN-7766998-G,Active
DEV-912,ROOM-014,FIRM-v2,EcoPlug-Pro,00:25:90:94:F3:C3,SN-8877009-H,Active
DEV-913,ROOM-015,FIRM-v1,SmartTherm-v2,00:1A:2B:3C:4D:6D,SN-9988110-I,Active
DEV-914,ROOM-016,FIRM-v2,SmartTherm-v2,00:1A:2B:3C:4D:6E,SN-1122334-J,Active
DEV-915,ROOM-018,FIRM-v3,SafeGuard-Motion,00:80:41:AE:FD:9C,SN-2233445-K,Active
DEV-916,ROOM-018,FIRM-v3,EcoPlug-Pro,00:25:90:94:F3:D4,SN-3344556-L,Active
DEV-917,ROOM-019,FIRM-v2,SmartTherm-v2,00:E0:4C:68:12:56,SN-4455667-M,Active
DEV-918,ROOM-020,FIRM-v1,EcoPlug-Lite,00:1A:2B:3C:4D:6F,SN-5566778-N,Offline
DEV-919,ROOM-003,FIRM-v1,EcoPlug-Lite,00:1A:2B:3C:4D:7A,SN-6677889-O,Active
DEV-920,ROOM-009,FIRM-v2,SafeGuard-Motion,00:80:41:AE:FD:0D,SN-7788990-P,Active
