invoice_id,customer_id,billing_period_start,billing_period_end,amount_due,payment_status
INV-001,CUST-001,2026-07-01,2026-07-31,120.50,Paid
INV-002,CUST-002,2026-07-01,2026-07-31,85.20,Paid
INV-003,CUST-003,2026-07-01,2026-07-31,45.00,Failed
INV-004,CUST-004,2026-07-01,2026-07-31,340.00,Paid
INV-005,CUST-006,2026-07-01,2026-07-31,92.15,Paid
INV-006,CUST-007,2026-07-01,2026-07-31,65.00,Overdue
INV-007,CUST-008,2026-07-01,2026-07-31,110.45,Paid
INV-008,CUST-011,2026-07-01,2026-07-31,215.00,Paid
INV-009,CUST-012,2026-07-01,2026-07-31,180.75,Paid
INV-010,CUST-013,2026-07-01,2026-07-31,145.30,Paid
INV-011,CUST-014,2026-07-01,2026-07-31,55.00,Paid
INV-012,CUST-015,2026-07-01,2026-07-31,72.40,Paid
INV-013,CUST-016,2026-07-01,2026-07-31,195.00,Paid
INV-014,CUST-017,2026-07-01,2026-07-31,115.25,Paid
INV-015,CUST-018,2026-07-01,2026-07-31,40.00,Paid
INV-016,CUST-019,2026-07-01,2026-07-31,500.00,Paid
INV-017,CUST-020,2026-07-01,2026-07-31,250.00,Paid
INV-018,CUST-001,2026-08-01,2026-08-31,115.00,Paid
INV-019,CUST-002,2026-08-01,2026-08-31,90.45,Paid
INV-020,CUST-003,2026-08-01,2026-08-31,0.00,Paid
