tariff_id,postal_code,rate_per_kwh,is_peak_pricing,effective_from
TAR-001,W1K 1BE,0.2850,true,2026-01-01 00:00:00
TAR-002,SA70 7HD,0.2420,false,2026-01-01 00:00:00
TAR-003,M20 6BB,0.2550,true,2026-01-01 00:00:00
TAR-004,BS1 1JQ,0.2610,false,2026-01-01 00:00:00
TAR-005,CB4 0WG,0.2940,true,2026-01-01 00:00:00
TAR-006,M11 4SP,0.2550,false,2026-01-01 00:00:00
TAR-007,EC1N 8QL,0.2890,true,2026-01-01 00:00:00
TAR-008,GL1 3EX,0.2480,false,2026-01-01 00:00:00
TAR-009,SW1A2AA,0.2850,true,2026-01-01 00:00:00
TAR-010,PH49 4JA,0.2210,false,2026-01-01 00:00:00
TAR-011,SW7 5QN,0.2850,true,2026-01-01 00:00:00
TAR-012,NW1 6XE,0.2850,true,2026-01-01 00:00:00
TAR-013,SE109AA,0.2780,false,2026-01-01 00:00:00
TAR-014,W4 1SH,0.2850,true,2026-01-01 00:00:00
TAR-015,W4 2D_,0.2850,false,2026-01-01 00:00:00
TAR-016,CF10 5AN,0.2390,false,2026-01-01 00:00:00
TAR-017,OX1 3JP,0.2720,true,2026-01-01 00:00:00
TAR-018,SK7 5AA,0.2580,false,2026-01-01 00:00:00
TAR-019,GL2 5LL,0.2480,false,2026-01-01 00:00:00
TAR-020,W1G 9YT,0.2850,true,2026-01-01 00:00:00
